,Unnamed: 0,Filename,Rsh_scaff,Voc (V),Isc (mA),Jsc(mA/cm2),Imax (mA),Vmax (V),Pmax (mW/cm2),FF (%),FF_est (%),PCE (%),Rseries (ohm),Rshunt (ohm),CellArea (cm2),ScanRate (mV/s),ActualScanRate (mV/s),CellNo,CellRow,CellColumn,Condition,meas_time,measurement
0,0,00-Rep_2-2023_10_03-19_00_25-rev-0,48620.57612391469,0.699889196981537,0.2801778439247405,3.113087154719339,0.165313,0.396949,0.065620830037,33.4640607882639,33.4640607882639,0.7291203337444445,1041.177753727629,3734.279240239737,0.09,60.0,-54.08409601045529,0,A,1,1,2023-10-03 19:00:25,1
1,1,01-Rep_2-2023_10_03-19_01_20-rev-0,10780.380655458395,0.5316428848155198,0.1841226810629098,2.045807567365665,0.108406,0.312094,0.033832862164,34.56300095530148,34.56300095530148,0.3759206907111111,1509.2384330252412,2908.0167219056984,0.09,60.0,-54.084080369473526,1,A,2,1,2023-10-03 19:01:20,1
2,2,02-Rep_2-2023_10_03-19_02_15-rev-0,1863904.302443052,0.6089305745732875,0.1777480029137507,1.9749778101527864,0.105441,0.360597,0.038021708277,35.128460297996774,35.128460297996774,0.4224634253,1774.1382506369198,2808.2228407871944,0.09,60.0,-54.08388188047114,2,A,3,1,2023-10-03 19:02:15,1
3,3,03-Rep_2-2023_10_03-19_03_10-rev-0,3727682.949445945,0.5856720964734873,0.1788494770446436,1.987216411607152,0.104874,0.348517,0.036550371858,34.8939064167278,34.8939064167278,0.4061152428666667,1762.2811640895468,2465.048609574845,0.09,60.0,-54.08442362953664,3,A,4,1,2023-10-03 19:03:10,1
4,4,04-Rep_2-2023_10_03-19_04_05-rev-0,88518.20235844112,0.5593624099117012,0.1844531447352947,2.049479385947719,0.106096,0.336365,0.03568698104,34.58839966275143,34.58839966275143,0.3965220115555555,1632.9049847233107,2363.2349246603403,0.09,60.0,-54.083810386576864,4,A,5,2,2023-10-03 19:04:05,1
5,5,05-Rep_2-2023_10_03-19_05_00-rev-0,798745.8811777196,0.5715887486036181,0.166978065261518,1.8553118362390897,0.0993013,0.348515,0.0346079925695,36.26046029734225,36.26046029734225,0.3845332507722222,1743.4329657495307,2855.7320250011867,0.09,60.0,-54.08378896091029,5,A,6,2,2023-10-03 19:05:00,1
6,6,06-Rep_2-2023_10_03-19_05_55-rev-0,112958.65372797757,0.5708544702816818,0.1911971095571838,2.124412328413153,0.118062,0.336364,0.039711806568,36.38420714941751,36.38420714941751,0.4412422951999999,1509.0908775398284,2407.385751100403,0.09,60.0,-54.084339026261,6,A,7,2,2023-10-03 19:05:55,1
7,7,07-Rep_2-2023_10_03-19_06_50-rev-0,20902.22704869601,0.5465755424493332,0.2099233688969097,2.3324818766323303,0.1271219999999999,0.312096,0.0396742677119999,34.57784615051693,34.57784615051693,0.4408251967999999,1533.707462702596,2243.6506149613,0.09,60.0,-54.08382578195093,7,A,8,2,2023-10-03 19:06:50,1
8,8,09-Rep_2-2023_10_03-19_08_40-rev-0,21728.27301499639,0.5683980570710299,0.2876967962561272,3.1966310695125246,0.15761,0.312096,0.04918945056,30.08045222983893,30.08045222983893,0.5465494506666667,1313.4733057133462,2334.3551425535966,0.09,60.0,-54.0844652999579,9,B,1,3,2023-10-03 19:08:40,1
9,9,10-Rep_2-2023_10_03-19_09_35-rev-0,8124.937660380234,0.4646677191969828,0.2081588304545669,2.312875893939633,0.115022,0.251511,0.028929298242,29.908908002350326,29.908908002350326,0.3214366471333333,1459.3349520117445,2158.1929052330443,0.09,60.0,-54.08407917102338,10,B,2,3,2023-10-03 19:09:35,1
