,CellNo,Condition,MAPbI3_AVAI,MAPbI3_MACl,MAPbI3,init_Voc (V),init_Jsc(mA/cm2),init_FF (%),init_PCE (%),init_Rseries (ohm),init_Rshunt (ohm),fin_Voc (V),fin_Jsc(mA/cm2),fin_FF (%),fin_PCE (%),fin_Rseries (ohm),fin_Rshunt (ohm),max_PCE (%),Obj1_maxPCE,Obj2_deltaPCE,batch
0,0,1,0,0,100,0.699889197,3.113087155,33.46406079,0.729120334,1041.177754,3734.27924,0.797116308,4.507698629,49.82875345,1.790426883,432.9086539,10061.9209,1.928011393,1.928011393,0.137584511,1
1,1,1,0,0,100,0.531642885,2.045807567,34.56300096,0.375920691,1509.238433,2908.016722,0.750758988,4.534820628,44.39481,1.511446766,483.2752134,6190.920236,1.586943272,1.586943272,0.075496507,1
2,2,1,0,0,100,0.608930575,1.97497781,35.1284603,0.422463425,1774.138251,2808.222841,0.763387909,4.699403515,41.58809457,1.49195951,489.4792872,4535.256618,1.584682547,1.584682547,0.092723037,1
3,3,1,0,0,100,0.585672096,1.987216412,34.89390642,0.406115243,1762.281164,2465.04861,0.751334776,4.525063827,39.87768919,1.355776758,540.3307788,4064.174483,1.435199167,1.435199167,0.079422409,1
4,4,2,0,20,80,0.55936241,2.049479386,34.58839966,0.396522012,1632.904985,2363.234925,0.763784626,3.926999517,39.99954656,1.199739143,628.36951,4618.81212,1.346478862,1.346478862,0.146739719,1
5,5,2,0,20,80,0.571588749,1.855311836,36.2604603,0.384533251,1743.432966,2855.732025,0.769347552,3.929895184,40.32255695,1.21913446,641.4671452,4939.601029,1.33240167,1.33240167,0.11326721,1
6,6,2,0,20,80,0.57085447,2.124412328,36.38420715,0.441242295,1509.090878,2407.385751,0.759604261,4.010529052,39.09100106,1.190874104,634.5968438,4689.70459,1.333528626,1.333528626,0.142654522,1
7,7,2,0,20,80,0.546575542,2.332481877,34.57784615,0.440825197,1533.707463,2243.650615,0.741097074,3.821766538,40.39479777,1.144101857,686.4051363,5069.791734,1.2913924,1.2913924,0.147290543,1
8,9,3,0,40,60,0.568398057,3.19663107,30.08045223,0.546549451,1313.473306,2334.355143,0.76052547,3.771505046,39.16863598,1.123484033,678.9821857,4582.449781,1.620692723,1.620692723,0.497208691,1
9,10,3,0,40,60,0.464667719,2.312875894,29.908908,0.321436647,1459.334952,2158.192905,0.673097498,3.400120251,34.20766724,0.782880926,1062.32874,3592.158047,1.09827737,1.09827737,0.315396444,1
10,11,3,0,40,60,0.511719183,2.177901623,31.15903884,0.347259399,1579.375443,1973.821894,0.74011854,3.530864997,35.58205198,0.929851051,852.9930622,3680.6258,1.168118792,1.168118792,0.238267742,1
11,12,4,0,60,40,0.57909358,2.896075353,32.91147607,0.551957919,1328.368419,2759.514608,0.764158966,3.960825322,32.0910196,0.971298949,867.6330677,3122.237391,1.187233728,1.187233728,0.215934779,1
12,13,4,0,60,40,0.567780128,2.995513003,32.50573351,0.552855161,1345.540759,2813.598109,0.70980603,3.316111337,32.53190248,0.765734562,1156.600251,3260.779239,0.993444181,0.993444181,0.227709619,1
13,14,4,0,60,40,0.551557436,2.843518535,31.18766784,0.48913609,1413.628566,2577.064444,0.698699113,3.137500691,32.15519658,0.704896235,1276.572124,3501.180873,0.953830287,0.953830287,0.248934052,1
14,15,4,0,60,40,0.561800129,2.433444525,33.88574558,0.46325523,1471.873253,2877.03161,0.736026713,4.204199615,29.45185844,0.911359257,1064.938795,2488.925576,1.131209179,1.131209179,0.219849922,1
15,16,5,0,80,20,0.567681329,2.872300292,31.86472211,0.519570623,1495.643602,3230.489184,0.616837649,3.280656073,28.42323616,0.575181753,1559.202712,2401.856404,0.888677442,0.888677442,0.313495689,1
16,17,5,0,80,20,0.641647455,2.733625208,31.05547931,0.544720454,1764.316261,3680.429391,0.766234858,4.204674289,28.96678107,0.933242485,917.6797871,2474.218123,0.978075461,0.978075461,0.044832976,1
17,18,5,0,80,20,0.749225398,3.717131619,36.65194132,1.020745357,1071.978587,6394.065441,0.771943117,4.343125619,33.46961855,1.122117803,795.2824772,3569.083502,1.598692113,1.598692113,0.47657431,1
18,19,5,0,80,20,0.724449774,2.754222357,35.59328554,0.710191318,1574.607865,6550.0982,0.800984098,4.873890281,31.45697551,1.228051576,651.0617469,2832.606532,1.333643449,1.333643449,0.105591873,1
19,20,6,0,100,0,0.760974606,2.459663933,34.07532674,0.637802131,1667.58921,5904.961938,0.809477102,5.580069622,30.19897499,1.364069154,597.7979185,2256.172786,1.402597031,1.402597031,0.038527877,1
20,21,6,0,100,0,0.841082913,1.934385811,41.77431687,0.679659302,1330.396459,13323.39908,0.857362578,6.481226753,33.60212828,1.867190052,339.6458636,2200.851066,1.867190052,1.867190052,0,1
21,22,6,0,100,0,0.805939055,2.423380839,41.53583347,0.811235227,1278.531744,10517.02239,0.847025852,5.97988249,31.79839846,1.610625469,386.8482194,2217.386904,1.610625469,1.610625469,0,1
